Rank,Country Name,Country_Encoded,Country ISO,HDI Score,Life expectancy,Expected yrs of schooling,Mean yrs of schooling,GNI per capita,Development Tier,Health_Index,Expected_Schooling_Index,Mean_Schooling_Index,Education_Index,GNI_Cleaned,Income_Index
48,Montenegro,120,MON,0.807,76.4,15.1,11.3,15410.0,Very High,0.8676923076923078,0.8388888888888889,0.7533333333333334,0.7961111111111112,15410.0,0.7609586155870209
49,Russian Federation,145,RUS,0.804,70.3,15.0,12.0,23286.0,Very High,0.7738461538461539,0.8333333333333334,0.8,0.8166666666666667,23286.0,0.8233198100033544
50,Romania,144,ROM,0.802,74.8,14.7,10.8,19428.0,Very High,0.8430769230769231,0.8166666666666667,0.7200000000000001,0.7683333333333333,19428.0,0.7959580284217485
51,Kuwait,97,KUW,0.801,74.5,13.3,7.3,76075.0,Very High,0.8384615384615385,0.7388888888888889,0.48666666666666664,0.6127777777777778,75000.0,1.0
52,Oman,132,OMA,0.795,77.0,13.7,8.1,34402.0,High,0.8769230769230769,0.7611111111111111,0.5399999999999999,0.6505555555555556,34402.0,0.88227117933631
53,Belarus,15,BEL,0.797,71.5,15.7,12.0,15629.0,High,0.7923076923076923,0.8722222222222222,0.8,0.8361111111111111,15629.0,0.7630902405838732
54,Uruguay,187,URU,0.795,77.4,15.5,8.6,19148.0,High,0.8830769230769232,0.8611111111111112,0.5733333333333334,0.7172222222222222,19148.0,0.7937651443704186
55,Barbados,14,BAR,0.795,75.8,15.3,10.5,14952.0,High,0.8584615384615384,0.8500000000000001,0.7,0.775,14952.0,0.7564010256272905
56,Kazakhstan,93,KAZ,0.795,69.6,15.0,11.7,22093.0,High,0.763076923076923,0.8333333333333334,0.7799999999999999,0.8066666666666666,22093.0,0.8153755616989621
57,Bulgaria,25,BUL,0.793,70.68894736842105,12.75,8.117368421052632,16637.647368421054,High,0.7798299595141701,0.7083333333333334,0.5411578947368422,0.6247456140350878,16637.647368421054,0.772537247660219
58,Bahamas,11,BAH,0.792,75.6,12.7,10.9,21565.0,High,0.8553846153846153,0.7055555555555555,0.7266666666666667,0.7161111111111111,21565.0,0.8117216464907097
59,Malaysia,110,MAL,0.79,74.9,13.1,10.1,24620.0,High,0.8446153846153847,0.7277777777777777,0.6733333333333333,0.7005555555555556,24620.0,0.8317346412904967
60,Palau,134,PAL,0.788,72.9,14.3,12.3,13771.0,High,0.8138461538461539,0.7944444444444445,0.8200000000000001,0.8072222222222223,13771.0,0.743972139142001
61,Panama,136,PAN,0.788,77.8,13.0,9.9,19470.0,High,0.8892307692307692,0.7222222222222222,0.66,0.6911111111111111,19470.0,0.7962842325033709
62,Antigua and Barbuda,5,ANT,0.785,76.2,13.9,9.2,20907.0,High,0.8646153846153847,0.7722222222222223,0.6133333333333333,0.6927777777777777,20907.0,0.8070407920637908
63,Seychelles,155,SEY,0.782,73.3,14.1,9.4,23886.0,High,0.82,0.7833333333333333,0.6266666666666667,0.7050000000000001,23886.0,0.8271626967566784
64,Mauritius,115,MAU,0.782,74.6,15.2,9.1,17948.0,High,0.8399999999999999,0.8444444444444444,0.6066666666666667,0.7255555555555555,17948.0,0.7839888803628419
65,Trinidad and Tobago,178,TRI,0.78,70.5,12.7,10.9,28049.0,High,0.7769230769230769,0.7055555555555555,0.7266666666666667,0.7161111111111111,28049.0,0.8514313811731292
66,Serbia,154,SER,0.776,75.0,14.4,10.8,12202.0,High,0.8461538461538461,0.8,0.7200000000000001,0.76,12202.0,0.7256996736810448
67,Costa Rica,40,COS,0.777,79.6,14.2,8.7,14006.0,High,0.9169230769230768,0.7888888888888889,0.58,0.6844444444444444,14006.0,0.7465281346665891
68,Cuba,42,CUB,0.775,79.6,13.9,11.8,7455.0,High,0.9169230769230768,0.7722222222222223,0.7866666666666667,0.7794444444444445,7455.0,0.6512722603970161
69,Iran (Islamic Republic of),85,IRA,0.774,75.6,14.8,8.8,16395.0,High,0.8553846153846153,0.8222222222222223,0.5866666666666667,0.7044444444444444,16395.0,0.7703179925956418
70,Georgia,69,GEO,0.769,75.0,13.9,12.2,8856.0,High,0.8461538461538461,0.7722222222222223,0.8133333333333332,0.7927777777777778,8856.0,0.6772856052373356
71,Venezuela (Bolivarian Republic of),190,VEN,0.767,74.4,14.3,9.4,15129.0,High,0.836923076923077,0.7944444444444445,0.6266666666666667,0.7105555555555556,15129.0,0.7581787040973453
72,Turkey,180,TUR,0.767,75.5,14.6,7.9,18705.0,High,0.8538461538461538,0.8111111111111111,0.5266666666666667,0.6688888888888889,18705.0,0.7902293218802592
73,Sri Lanka,164,SRI,0.766,75.0,14.0,10.9,10789.0,High,0.8461538461538461,0.7777777777777778,0.7266666666666667,0.7522222222222222,10789.0,0.707108825465189
74,Saint Kitts and Nevis,147,SAI,0.766,74.0,13.7,8.4,22436.0,High,0.8307692307692308,0.7611111111111111,0.56,0.6605555555555556,22436.0,0.817702725598298
75,Albania,1,ALB,0.764,78.0,14.2,9.6,10252.0,High,0.8923076923076924,0.7888888888888889,0.64,0.7144444444444444,10252.0,0.6993967826410985
76,Lebanon,101,LEB,0.763,79.5,13.3,8.6,13312.0,High,0.9153846153846154,0.7388888888888889,0.5733333333333334,0.6561111111111111,13312.0,0.7388514937037155
77,Mexico,116,MEX,0.762,77.0,13.3,8.6,16383.0,High,0.8769230769230769,0.7388888888888889,0.5733333333333334,0.6561111111111111,16383.0,0.7702073898219803
78,Azerbaijan,10,AZE,0.759,70.9,12.7,11.2,16413.0,High,0.7830769230769231,0.7055555555555555,0.7466666666666666,0.726111111111111,16413.0,0.7704837450607511
79,Grenada,73,GRE,0.754,70.68894736842105,12.75,8.117368421052632,16637.647368421054,High,0.7798299595141701,0.7083333333333334,0.5411578947368422,0.6247456140350878,16637.647368421054,0.772537247660219
